name,smiles,taste,MW,LogP,HBD,HBA,TPSA
Rebaudioside C,OCC1OC(OC23CCC4C(C2)(CC3=C)CCC2C4(C)CCCC2(C)C(=O)OC2OC(CO)C(C(C2O)O)O)C(C(C1O)OC1OC(CO)C(C(C1O)O)O)OC1OC(C)C(C(C1O)O)O,sweet,951.0220000000011,-4.086299999999983,13.0,22.0,353.90000000000003
Rebaudioside D,OCC1OC(OC23CCC4C(C2)(CC3=C)CCC2C4(C)CCCC2(C)C(=O)OC2OC(CO)C(C(C2OC2OC(CO)C(C(C2O)O)O)O)O)C(C(C1O)OC1OC(CO)C(C(C1O)O)O)OC1OC(CO)C(C(C1O)O)O,sweet,1129.1620000000012,-7.289699999999999,17.0,28.0,453.28000000000014
Rebaudioside E,OCC1OC(OC(=O)C2(C)CCCC3(C2CCC24C3CCC(C4)(C(=C)C2)OC2OC(CO)C(C(C2OC2OC(CO)C(C(C2O)O)O)O)O)C)C(C(C1O)O)OC1OC(CO)C(C(C1O)O)O,sweet,967.0210000000011,-5.113899999999983,14.0,23.0,374.13000000000005
Dulcoside A,OCC1OC(OC23CCC4C(C2)(CC3=C)CCC2C4(C)CCCC2(C)C(=O)OC2OC(CO)C(C(C2O)O)O)C(C(C1O)O)OC1OC(C)C(C(C1O)O)O,sweet,788.8810000000009,-1.9104999999999914,10.0,17.0,274.74999999999994
Glycyrrhizin,OC1C(OC2OC(C(=O)O)C(C(C2O)O)O)C(OC(C1O)C(=O)O)OC1CCC2(C(C1(C)C)CCC1(C2C(=O)C=C2C1(C)CCC1(C2CC(C)(CC1)C(=O)O)C)C)C,sweet,822.9419999999998,2.245600000000006,8.0,13.0,267.03999999999996
Hernandulcin,CC(=CCCC(C1CCC(=CC1=O)C)(O)C)C,sweet,236.355,3.409200000000002,1.0,2.0,37.3
Fructose,OCC1OC(C(C1O)O)(O)CO,sweet,180.15599999999998,-3.219799999999999,5.0,6.0,110.38000000000001
Glucose,OCC1OC(O)C(C(C1O)O)O,sweet,180.156,-3.2213999999999996,5.0,6.0,110.38000000000001
Xylose,OC1COC(C(C1O)O)O,sweet,150.13,-2.582299999999999,4.0,5.0,90.15
Maltose,OCC1OC(O)C(C(C1OC1OC(CO)C(C(C1O)O)O)O)O,sweet,342.297,-5.397199999999993,8.0,11.0,189.52999999999997
Lactulose,OCC1OC(C(C1OC1OC(CO)C(C(C1O)O)O)O)(O)CO,sweet,342.297,-5.395599999999993,8.0,11.0,189.52999999999997
Lactosucrose,OCC1OC(OC2(CO)OC(C(C2O)O)CO)C(C(C1OC1OC(CO)C(C(C1O)O)O)O)O,sweet,504.43800000000016,-7.571399999999988,11.0,16.0,268.67999999999995
Raffinose,OCC1OC(C(C1O)O)(CO)OC1OC(COC2OC(CO)C(C(C2O)O)O)C(C(C1O)O)O,sweet,504.4380000000001,-7.571399999999989,11.0,16.0,268.67999999999995
Rhamnose,OC1C(C)OC(C(C1O)O)O,sweet,164.15699999999998,-2.193799999999999,4.0,5.0,90.15
Naringin,OCC1OC(Oc2cc(O)c3c(c2)OC(CC3=O)c2ccc(cc2)O)C(C(C1O)O)OC1OC(C)C(C(C1O)O)O,bitter,580.5390000000003,-1.1652000000000007,8.0,14.0,225.05999999999995
Gentiobiose,OCC1OC(OCC2OC(O)C(C(C2O)O)O)C(C(C1O)O)O,bitter,342.297,-5.397199999999993,8.0,11.0,189.52999999999997
Limonin,O=C1OCC23C(C1)OC(C2CC(=O)C1(C3CCC2(C31OC3C(=O)OC2c1cocc1)C)C)(C)C,bitter,470.5180000000002,3.1374000000000013,0.0,8.0,104.57
Oleuropein,OCC1OC(OC2OC=C(C(C2=CC)CC(=O)OCCc2ccc(c(c2)O)O)C(=O)OC)C(C(C1O)O)O,bitter,540.5180000000004,-0.6341999999999997,6.0,13.0,201.67
Caffeine ,Cn1cnc2c1c(=O)n(C)c(=O)n2C,bitter,194.194,-1.0293,0.0,6.0,61.82
Poncirin,OCC1OC(Oc2cc3OC(CC(=O)c3c(c2)O)c2ccc(cc2)OC)C(C(C1O)O)OC1OC(C)C(C(C1O)O)O,bitter,594.5660000000004,-0.8622000000000001,7.0,14.0,214.05999999999997
Neoeriocitrin,OCC1OC(Oc2cc(O)c3c(c2)OC(CC3=O)c2ccc(c(c2)O)O)C(C(C1O)O)OC1OC(C)C(C(C1O)O)O,bitter,596.5380000000004,-1.4596000000000005,9.0,15.0,245.28999999999994
Quinine,C=CC1CN2CCC1CC2C(c1ccnc2c1cc(OC)cc2)O,bitter,324.42400000000004,3.173200000000002,1.0,4.0,45.59
Divinyl glycol,C=COCCOC=C,bitter,114.14399999999999,1.3066,0.0,2.0,18.46
Theobromine,Cn1cnc2c1c(=O)[nH]c(=O)n2C,bitter,180.16699999999997,-1.0397,1.0,5.0,72.68
Picrocrocin,OCC1OC(OC2CC(=C(C(C2)(C)C)C=O)C)C(C(C1O)O)O,bitter,330.37699999999995,-0.49309999999999926,4.0,7.0,116.45
Saccharin derivative 1,Cc1ccc2c(c1)S(=O)(=O)NC2=O,sweet,197.215,0.42712,1.0,3.0,63.24
Saccharin derivative 2,Clc1ccc2c(c1)S(=O)(=O)NC2=O,sweet,217.63299999999998,0.7720999999999998,1.0,3.0,63.24
Saccharin derivative 3,BrCCN1C(=O)c2c(S1(=O)=O)cccc2,tasteless,290.138,1.226,0.0,3.0,54.45
3-nitro-o-toluidine,O=N(=O)c1cccc(c1C)N,tasteless,152.15299999999996,1.4854199999999997,1.0,3.0,69.16
3-nitro-p-toluidine,Nc1ccc(c(c1)N(=O)=O)C,tasteless,152.153,1.48542,1.0,3.0,69.16
2-amino-4-nitro-propoxybenzene,CCCOc1ccc(cc1N)N(=O)=O,sweet,196.20599999999996,1.9657999999999998,1.0,4.0,78.38999999999999
2-nitro-4-amino-propoxybenzene,CCCOc1ccc(cc1N(=O)=O)N,tasteless,196.20599999999996,1.9658,1.0,4.0,78.39
"2,4-dinitro-propoxybenzene",CCCOc1ccc(cc1N(=O)=O)N(=O)=O,bitter,226.18799999999996,2.2918000000000003,0.0,5.0,95.50999999999999
Dulcin (p-ethoxyphenylurea),CCOc1ccc(cc1)NC(=O)N,sweet,180.20699999999997,1.5758999999999996,2.0,2.0,64.35
4-Ethoxyphenylthiourea,CCOc1ccc(cc1)NC(=S)N,bitter,196.27499999999998,1.7407999999999997,2.0,2.0,47.28
o-ethoxyphenylurea,CCOc1ccccc1NC(=O)N,tasteless,180.20699999999997,1.5758999999999999,2.0,2.0,64.35
Dihydroquercetin 3-acetate 4'-(methylether) (3),COc1ccc(cc1O)C1Oc2cc(O)cc(c2C(=O)C1OC(=O)C)O,sweet,360.3180000000001,2.0601,3.0,8.0,122.52000000000002
Flavan (4),COc1ccc(cc1O)C1CCc2c(O1)cccc2,sweet,256.30099999999993,3.467100000000002,1.0,3.0,38.69
Compound 5,COc1ccc(cc1O)C1OCc2c(C1)cccc2,sweet,256.30099999999993,3.214800000000001,1.0,3.0,38.69
"1,3-benzodioxane (6)",COc1ccc(cc1O)C1OCc2c(O1)cccc2,sweet,258.27299999999997,3.0086000000000013,1.0,4.0,47.92
"1,4-benzodioxane (7)",COc1ccc(cc1O)C1COc2c(O1)cccc2,sweet,258.27299999999997,2.9133000000000013,1.0,4.0,47.92
Bibenzyl derivative (8),COc1ccc(cc1O)CCc1ccccc1,sweet,228.29099999999997,3.1860000000000017,1.0,2.0,29.46
"1,4-benzodioxin (9)",COc1ccc(cc1O)C1=COc2c(O1)cccc2,tasteless,256.25699999999995,3.170600000000001,1.0,4.0,47.92
"Isoflavan or 3-(3-Hydroxy-4-methoxyphenyl)-3,4-dihydro-2H-1benzopyran (10)",COc1ccc(cc1O)C1COc2c(C1)cccc2,sweet,256.30099999999993,3.1195000000000013,1.0,3.0,38.69
"2-(3-Hydroxy-4-methoxyphenyl)-4,5-dihydro-1,3-benzodioxepine (11)",COc1ccc(cc1O)C1OCCc2c(O1)cccc2,tasteless,272.29999999999995,3.0511000000000017,1.0,4.0,47.92
"3-(3Hydroxy-4-methoxyphenyl)-1,5-dihydro-2,4-benzodioxepine (12)",COc1ccc(cc1O)C1OCc2c(CO1)cccc2,tasteless,272.29999999999995,3.1464000000000016,1.0,4.0,47.92
"2-(3-hydroxy-4-methoxyphenyl)-1,3-benzodioxole (13)",COc1ccc(cc1O)C1Oc2c(O1)cccc2,sweet,244.24599999999998,2.870800000000001,1.0,4.0,47.92
Compound 23,COc1ccc(cc1O)c1cc2cccc(c2c(=O)o1)O,tasteless,284.267,2.8798000000000017,2.0,5.0,79.9
Compound 24,COc1ccc(cc1O)c1cc(=O)c2c(o1)cccc2O,tasteless,284.267,2.879800000000001,2.0,5.0,79.9
Compound 25,COc1ccc(cc1O)C1OC(=O)c2c1cccc2,tasteless,256.25699999999995,2.6606000000000005,1.0,4.0,55.76
"2-(3-Hydroxy-4-methoxyphenyl)-4-H-1,3-benzodithiine (10a)",COc1ccc(cc1O)C1SCc2c(S1)cccc2,sweet,290.409,4.438500000000002,1.0,4.0,29.46
"2-(3-Hydroxy-4-methoxyphenyl)-4H-1,3-benzoxathiine (10c)",COc1ccc(cc1O)C1SCc2c(O1)cccc2,sweet,274.34099999999995,3.725200000000002,1.0,4.0,38.69
"2-(3-Hydroxy-4-methoxyphenyl)-4H-1,3-benzodithiole (10d)",COc1ccc(cc1O)C1Sc2c(S1)cccc2,sweet,276.382,4.297400000000002,1.0,4.0,29.46
"2-(3-Hydroxy-4-methoxyphenyl)-1,3-benzoxathiole (10e)",COc1ccc(cc1O)C1Oc2c(S1)cccc2,sweet,260.31399999999996,3.584100000000002,1.0,4.0,38.69
"7,8-Dimethyl-3-(3-hydroxy-4-methoxyphenyl)-1,5-dihydro-2,4-benzodithiepine (10f)",COc1ccc(cc1O)C1SCc2c(CS1)cccc2,tasteless,304.436,4.579600000000003,1.0,4.0,29.46
"2-(3-Hydroxy-4-methoxyphenyl)-2,3-dihydro-1,4-benzoxathiine (15a)",COc1ccc(cc1O)C1CSc2c(O1)cccc2,sweet,274.34099999999995,3.6266000000000016,1.0,4.0,38.69
"2-(3-Hydroxy-4-methoxyphenyl)-2,3-dihydro-1,4-benzodithiine (15b)",COc1ccc(cc1O)C1CSc2c(S1)cccc2,sweet,290.409,4.339900000000003,1.0,4.0,29.46
"2-(3-Hydroxy-4-methylthiophenyl)-2,3-dihydro-1,4-benzoxathiine (15c)",CSc1ccc(cc1O)C1CSc2c(O1)cccc2,tasteless,290.409,4.339900000000003,1.0,4.0,29.46
"2-(3-Hydroxy-4-methoxyphenyl)-2,3-dihydro-1,4-benzoxathiin-6-ol (15d)",COc1ccc(cc1O)C1CSc2c(O1)ccc(c2)O,sweet,290.34,3.3322000000000016,2.0,5.0,58.92
"2-(3-Hydroxy-4-methylthiophenyl)-2,3-dihydro-1,4-benzoxathiin-6-ol (15e)",CSc1ccc(cc1O)C1CSc2c(O1)ccc(c2)O,tasteless,306.408,4.045500000000002,2.0,5.0,49.69
"2-(3-Hydroxy-4-methoxyphenyl)-3,4-dihydro-2H-1-benzothiopyran (18)",COc1ccc(cc1O)C1CCc2c(S1)cccc2,sweet,272.36899999999997,4.180400000000003,1.0,3.0,29.46
"3-(3-Hydroxy-4-methoxyphenyl)-3,4-dihydro-2H-1-benzothiopyran (19)",COc1ccc(cc1O)C1CSc2c(C1)cccc2,tasteless,272.36899999999997,3.8328000000000024,1.0,3.0,29.46
"2-(3-Mercapto-4-methoxyphenyl)-4H-3,1-benzoxathiine (23)",COc1ccc(cc1S)C1OCc2c(S1)cccc2,sweet,290.409,4.305000000000002,1.0,4.0,18.46
Sulfone,COc1ccc(cc1O)C1Oc2ccccc2S(=O)(=O)C1,sweet,306.33900000000006,2.3082000000000003,1.0,5.0,72.83
Haematoxylin,Oc1cc2CC3(C(c2cc1O)c1ccc(c(c1OC3)O)O)O,sweet,302.282,1.3204999999999996,5.0,6.0,110.38000000000001
"9-Methoxy-7,11b-dihydrobenz[b]indeno[1,2-d]pyran-6a,10-diol (4)",COc1cc2CC3(C(c2cc1O)c1ccccc1OC3)O,sweet,284.31100000000004,2.2123000000000004,2.0,4.0,58.92
"10-Methoxy-7,11b-dihydrobenz[b]indeno[1,2-d]pyran-6a,9-diol (5)",COc1cc2c(cc1O)CC1(C2c2ccccc2OC1)O,tasteless,284.31100000000004,2.2123000000000004,2.0,4.0,58.92
"3,9,10-Trimethoxy-7,11b-dihydrobenz[b]indeno[1,2-d]pyran-4,6a-diol (6)",COc1cc2CC3(C(c2cc1OC)c1ccc(c(c1OC3)O)OC)O,tasteless,344.3630000000001,2.2295000000000003,2.0,6.0,77.38000000000001
"4,9,10-Trimethoxy-7,11b-dihydrobenz[b]indeno[1,2-d]pyran-3,6a-diol (7)",COc1cc2c(cc1OC)CC1(C2c2ccc(c(c2OC1)OC)O)O,tasteless,344.36300000000006,2.2295000000000007,2.0,6.0,77.38000000000001
Tetramethylhaematoxylin (8),COc1cc2CC3(C(c2cc1OC)c1ccc(c(c1OC3)OC)OC)O,bitter,358.39000000000016,2.532500000000001,1.0,6.0,66.38000000000001
Compound 8,COc1ccc2c(c1O)CCC1C2CCC2(C1CCC2)C,sweet,286.415,4.647000000000004,1.0,2.0,29.46
Compound 17,COc1ccc(cc1)C1OCc2c(S1)cccc2,tasteless,258.342,4.016300000000003,0.0,3.0,18.46
Compound 18,Oc1cccc(c1)C1OCc2c(S1)cccc2,sweet,244.315,3.713300000000002,1.0,3.0,29.46
Compound 19,CCNC(=O)Oc1cc(ccc1OC)C1OCc2c(S1)cccc2,tasteless,345.42,4.124600000000003,1.0,5.0,56.790000000000006
Compound 20,COc1ccc(cc1OC(=O)Nc1ccccc1)C1OCc2c(S1)cccc2,sweet,393.46400000000017,5.627200000000004,1.0,5.0,56.790000000000006
Compound 21,COc1ccc(cc1OC(=O)Nc1ccc(cc1)N(=O)=O)C1OCc2c(S1)cccc2,sweet,438.4610000000002,5.535400000000004,1.0,7.0,99.92999999999999
Compound 25,COc1ccc(c(c1O)NC(=O)c1ccc(cc1)N(=O)=O)C1OCc2c(S1)cccc2,tasteless,438.4610000000002,4.882400000000003,2.0,7.0,110.92999999999999
Compound 26,COc1ccc(c(c1O)C=Cc1ccc(cc1)N(=O)=O)C1OCc2c(S1)cccc2,sweet,421.47400000000016,5.800500000000005,1.0,6.0,81.83
Compound 27,COc1ccc(c(c1O)C=CCc1ccc(cc1)N(=O)=O)C1OCc2c(S1)cccc2,tasteless,435.5010000000002,5.8860000000000054,1.0,6.0,81.83
Compound 28,COc1cc(N(=O)=O)c(cc1O)C1OCc2c(S1)cccc2,tasteless,319.338,3.6301000000000014,1.0,6.0,81.83
Compound 29,ON=C1Cc2ccccc2OC1c1ccc(c(c1)O)OC,tasteless,285.29900000000004,2.9072000000000013,2.0,5.0,71.28000000000002
Compound 30,COc1ccc(cc1O)C1Oc2ccccc2OC1C,tasteless,272.3,3.301800000000002,1.0,4.0,47.92
2-(4-methoxybenzoyl) benzoic acid,COc1ccc(cc1)C(=O)c1ccccc1C(=O)O,sweet,256.25699999999995,2.6243999999999996,1.0,3.0,63.60000000000001
Compound 2,O=C(c1ccccc1C(=O)O)c1ccccc1,tasteless,226.231,2.615800000000001,1.0,2.0,54.370000000000005
Compound 3,Cc1ccc(cc1)C(=O)c1ccccc1C(=O)O,sweet,240.258,2.924220000000001,1.0,2.0,54.370000000000005
Compound 4,CCOc1ccc(cc1)C(=O)c1ccccc1C(=O)O,sweet,270.28399999999993,3.014500000000001,1.0,3.0,63.60000000000001
Compound 5,CCCOc1ccc(cc1)C(=O)c1ccccc1C(=O)O,tasteless,284.311,3.404600000000002,1.0,3.0,63.60000000000001
Compound 6,O=C(c1ccccc1C(=O)O)c1ccc(cc1)Oc1ccccc1,tasteless,318.328,4.408100000000003,1.0,3.0,63.60000000000001
Compound 7,Oc1ccc(cc1)C(=O)c1ccccc1C(=O)O,sweet,242.23,2.3213999999999997,2.0,3.0,74.6
Compound 8,CSc1ccc(cc1)C(=O)c1ccccc1C(=O)O,tasteless,272.32499999999993,3.3377000000000017,1.0,3.0,54.370000000000005
Compound 9,O=C(c1ccccc1C(=O)O)c1ccc(cc1)N(C)C,sweet,269.3,2.681800000000001,1.0,3.0,57.61000000000001
2-(4-Nitrobenzoyl)benzoic Acid (10),O=C(c1ccccc1C(=O)O)c1ccc(cc1)N(=O)=O,bitter,271.228,2.524000000000001,1.0,4.0,97.50999999999999
Compound 11,O=C(c1ccccc1C(=O)O)c1ccc(cc1)C(=O)O,tasteless,270.23999999999995,2.314,2.0,3.0,91.67
Compound 12,Clc1ccc(cc1)C(=O)c1ccccc1C(=O)O,sweet,260.676,3.2692000000000014,1.0,2.0,54.370000000000005
Compound 13,O=C(c1ccccc1C(=O)O)c1ccc(cc1)c1ccccc1,tasteless,302.329,4.282800000000003,1.0,2.0,54.370000000000005
"2-(3,4-Dihydroxybenzoyl)benzoic Acid (14)",O=C(c1ccccc1C(=O)O)c1ccc(c(c1)O)O,sweet,258.229,2.027,3.0,4.0,94.83000000000001
2-(3-Hydroxy-4-methoxybenzoyl)benzoic Acid (15),COc1ccc(cc1O)C(=O)c1ccccc1C(=O)O,sweet,272.256,2.33,2.0,4.0,83.83
2-(4-Hydroxy-3-methoxybenzoyl)benzoic Acid (16),COc1cc(ccc1O)C(=O)c1ccccc1C(=O)O,tasteless,272.256,2.33,2.0,4.0,83.83
"2-(3,4-Dimethoxybenzoyl)benzoic Acid (17)",COc1cc(ccc1OC)C(=O)c1ccccc1C(=O)O,tasteless,286.283,2.633,1.0,4.0,72.83
"2-(2,4-Dimethoxybenzoyl)benzoic Acid (18)",COc1cc(OC)ccc1C(=O)c1ccccc1C(=O)O,bitter,286.283,2.633,1.0,4.0,72.83
2-(4-Hydroxy-2-methoxybenzoyl)benzoic Acid (19),COc1ccc(c(c1)O)C(=O)c1ccccc1C(=O)O,tasteless,272.256,2.3299999999999996,2.0,4.0,83.83
Compound 20,COc1ccc(cc1)Cc1ccccc1C(=O)O,tasteless,242.274,2.9842000000000004,1.0,2.0,46.53
Compound 21,COc1ccc(cc1)Oc1ccccc1C(=O)O,tasteless,244.24599999999998,3.1857000000000015,1.0,3.0,55.760000000000005
Compound 22,COc1ccc(cc1)Sc1ccccc1C(=O)O,tasteless,260.31399999999996,3.5446000000000026,1.0,3.0,46.53
2-(4-Methoxyphenylthio) benzoic Acid S-Oxide (23),COc1ccc(cc1)S(=O)c1ccccc1C(=O)O,sweet,276.313,2.5601000000000003,1.0,3.0,63.60000000000001
Compound 24,COc1ccc(cc1)C(=O)c1ccccc1,tasteless,212.248,2.9262000000000015,0.0,2.0,26.3
Compound 25,COc1ccc(cc1)C(=O)c1ccccc1C(=O)OC,tasteless,270.284,2.7128000000000005,0.0,4.0,52.60000000000001
2-Hydroxymethylphenyl-4-methoxyphenylmethanol (26),COc1ccc(cc1)C(c1ccccc1CO)O,tasteless,244.29,2.2692000000000005,2.0,3.0,49.69
Phthalic Acid Mono(4-methoxyphenyl) Ester (27),COc1ccc(cc1)OC(=O)c1ccccc1C(=O)O,sweet,272.256,2.6126000000000005,1.0,4.0,72.83
3-(4-Methoxyphenyl)benzo[2]furan-1-one (28),COc1ccc(cc1)C1OC(=O)c2c1cccc2,tasteless,240.25799999999998,2.955000000000001,0.0,3.0,35.53
Compound 29,COc1ccc(cc1)C(=O)C(=CC(=O)O)C,tasteless,220.22399999999996,1.9088,1.0,3.0,63.60000000000001
"3-Methoxy-1,3,5-estratrien-4-ol (4)",COc1cc2CCC3C(c2cc1O)CCC1(C3CCC1)C,sweet,286.415,4.647000000000004,1.0,2.0,29.46
Substituted pterocarpan (5),COc1cc2OC3C(c2cc1O)COc1c3cccc1,tasteless,270.284,3.0105000000000013,1.0,4.0,47.92
"Spiro[(4-H-1,3-benzodithian)-2,1'-(5'-methoxy-6'hydroxy-[1H]-2',3'-dihydroindene)] (6)",COc1cc2CCC3(c2cc1O)SCc1c(S3)cccc1,sweet,316.447,4.538900000000003,1.0,4.0,29.46
"Spiro[(4-H-1,3-benzodithian)-2,1'-(5'-hydroxy-6'-methoxy-[1H]-2',3'-dihydroindene)] (7)",COc1cc2c(cc1O)CCC12SCc2c(S1)cccc2,tasteless,316.44699999999995,4.538900000000003,1.0,4.0,29.46
"Spiro[(4-H-1,3-benzodithian)-2,1'-(4'-hydroxy-5'-methoxy-[1H]-2',3'-dihydroindene)] (8)",COc1ccc2c(c1O)CCC12SCc2c(S1)cccc2,tasteless,316.44699999999995,4.538900000000003,1.0,4.0,29.46
"2-Phenoxymethyl-2H-7,8-dihydrobenzopyran (9)",COc1cc2CCOC(c2cc1O)COc1ccccc1,tasteless,286.327,3.0936000000000012,1.0,4.0,47.92
"2-Methyl-2-(3-hydroxy-4-methoxyphenyl)-1,4-dihydrobenzodioxane (12)",COc1ccc(cc1O)C1(C)COc2c(O1)cccc2,tasteless,272.29999999999995,3.0874000000000015,1.0,4.0,47.92
Phyllodulcin,COc1ccc(cc1O)C1OC(=O)c2c(C1)cccc2O,sweet,286.28299999999996,2.5606000000000004,2.0,5.0,75.99
Compound 4,COc1ccc(cc1O)C1OCc2c(S1)cccc2,sweet,274.34099999999995,3.7219000000000024,1.0,4.0,38.69
Compound 6,COc1ccc(cc1O)C1COc2c(S1)cccc2,sweet,274.34099999999995,3.6266000000000025,1.0,4.0,38.69
Compound 9,COc1ccc(cc1O)C1SCC23C(O1)CC(C3(C)C)CC2,sweet,320.4540000000001,4.357700000000003,1.0,4.0,38.69
"3',4'-dihydroxyphenyl-3,1-benzoxathiane (18)",Oc1ccc(cc1O)C1OCc2c(S1)cccc2,sweet,260.31399999999996,3.4189000000000016,2.0,4.0,49.69
"2-[3-(4-nitrophenoxycarboxy)phenyl]-3,1-benzoxathiane (25)",O=C(Oc1cc(ccc1O)C1OCc2c(S1)cccc2)Oc1ccc(cc1)N(=O)=O,sweet,425.4180000000001,5.199300000000004,1.0,8.0,108.13000000000002
"2-[3-(4-nitrophenylcarbonylmethoxy)-4-methoxyphenyl]-3,1-benzoxathiane (26)",O=C(c1ccc(cc1)N(=O)=O)COc1cccc(c1)C1OCc2c(S1)cccc2,sweet,407.4470000000001,5.1776000000000035,0.0,6.0,78.67
"2-[3-(4-nitrophenylcarbamoyloxy-4-methoxy)phenyl]-3,1-benzodioxane (27)",COc1ccc(cc1OC(=O)Nc1ccc(cc1)N(=O)=O)C1OCc2c(O1)cccc2,sweet,422.3930000000002,4.822100000000003,1.0,7.0,109.16
Compound 32,COc1ccc(cc1O)CCC(=O)c1c(O)cc(cc1O)O,sweet,304.29799999999994,2.3331000000000017,4.0,6.0,107.22000000000001
3-(3-Hydroxy-4-methoxyphenyl)-1-(3-carboxyphenyl)propan-1-one (33),COc1ccc(cc1O)CCC(=O)c1cccc(c1)C(=O)O,sweet,300.31,2.9145000000000003,2.0,4.0,83.83
Compound 34,COc1ccc(cc1O)C1Cc2cc(O)cc(c2C(=O)C1OC(=O)C)O,sweet,358.34600000000006,2.2663000000000006,3.0,7.0,113.29
2-(3-hydroxy-4-methoxyphenoxymethyl)benzoic acid (40),COc1ccc(cc1O)OCc1ccccc1C(=O)O,sweet,274.272,2.678,2.0,4.0,75.99
Compound 42,COc1ccc(cc1)C(=O)C=CC(=O)O,sweet,206.19699999999997,1.5187,1.0,3.0,63.60000000000001
Dihydroquercetin 4'-(methyl ether),COc1ccc(cc1O)C1Oc2cc(O)cc(c2C(=O)C1O)O,sweet,318.281,1.4892999999999992,4.0,7.0,116.45000000000002
Dihydroquercetin,Oc1cc2OC(c3ccc(c(c3)O)O)C(C(=O)c2c(c1)O)O,tasteless,304.254,1.1862999999999997,5.0,7.0,127.45000000000002
