name,smiles,taste
2-(3-hydroxy-4-methoxyphenoxymethyl)benzoic acid (40),COc1ccc(cc1O)OCc1ccccc1C(=O)O,sweet
Compound 42,COc1ccc(cc1)C(=O)C=CC(=O)O,sweet
Dihydroquercetin 4'-(methyl ether),COc1ccc(cc1O)C1Oc2cc(O)cc(c2C(=O)C1O)O,sweet
Dihydroquercetin,Oc1cc2OC(c3ccc(c(c3)O)O)C(C(=O)c2c(c1)O)O,tasteless
Compound II or Hydrangenol,Oc1ccc(cc1)C1OC(=O)c2c(C1)cccc2O,tasteless
Compound III,COc1cc(ccc1OC)C1OC(=O)c2c(C1)cccc2O,bitter
Compound IV,COc1cc(ccc1OC)C1OC(=O)c2c(C1)cccc2OC,tasteless
Compound V,COc1ccc(cc1OC(=O)C)C1OC(=O)c2c(C1)cccc2OC(=O)C,sweet
Compound VI,Oc1cc(ccc1O)C1OC(=O)c2c(C1)cccc2O,tasteless
Compound VII,COc1ccc(cc1O)C1OC(=O)c2c(C1)cccc2,sweet
Compound VIII,COc1cc(ccc1O)C1OC(=O)c2c(C1)cccc2,tasteless
Compound IX,Oc1cccc(c1)C1OC(=O)c2c(C1)cccc2,tasteless
Compound X,COc1ccc(cc1)C1OC(=O)c2c(C1)cccc2,tasteless
Compound XI,O=C1OC(Cc2c1cccc2)c1ccc(c(c1)O)O,tasteless
Compound XII,COc1ccc(cc1O)Cc1ccccc1,tasteless
Compound XIV,COc1ccc(cc1O)CCCc1ccccc1,sweet
Compound XV,COc1ccc(cc1O)CCCCc1ccccc1,tasteless
Compound XVI,COc1ccc(cc1O)C=Cc1ccccc1,tasteless
Compound XVII,COc1ccc(cc1O)CC(c1ccccc1)C(=O)O,tasteless
Compound XVIII,COc1ccc(cc1O)CC(c1ccccc1)C,bitter
Compound XIX,OCC(c1ccccc1)Cc1ccc(c(c1)O)OC,bitter
Compound XX,CCOC(=O)C(c1ccccc1)Cc1ccc(c(c1)O)OC,bitter
Compound XXI,COc1ccc(cc1O)CNc1ccccc1,sweet
Compound XXII,COc1ccc(cc1O)COc1ccccc1,sweet
Compound XXIII,COc1ccc(cc1O)CSc1ccccc1,sweet
Compound XXIV,COc1ccc(cc1O)NCc1ccccc1,sweet
Compound XXV,COc1ccc(cc1O)C(=O)Cc1ccccc1,tasteless
Compound XXVI,COc1ccc(cc1O)C(=O)Nc1ccccc1,tasteless
Compound XXVII,COc1ccc(cc1O)C(=O)Oc1ccccc1,sweet
Compound XXVIII,COc1ccc(cc1O)C(=O)Sc1ccccc1,tasteless
Compound XXIX,COc1ccc(cc1O)COC(=O)c1ccccc1,bitter
Compound XXX,COc1ccc(cc1O)COC(=O)c1ccccc1O,sweet
Compound XXXI,COc1ccc(cc1O)CC(=O)c1ccccc1O,sweet
Guaiacol,COc1ccccc1O,tasteless
Compound XXXII,COc1ccc(cc1O)CCC1CCCCC1,sweet
Compound XXXIII,CCCNCc1ccc(c(c1)O)OC,tasteless
Compound XXXIV,COc1ccc(cc1O)CNCC(C)C,tasteless
Compound XXXV,COc1ccc(cc1O)CNCC(C)(C)C,tasteless
Compound XXXVII,COc1ccc(cc1O)CC1OC(=O)c2c1cccc2,tasteless
Compound XXXVIII,COc1ccc(cc1O)CCc1cccc2c1cccc2,tasteless
Compound XXXIX,COc1ccc(cc1O)CCc1ccc2c(c1)cccc2,tasteless
Compound XL,COc1ccc(cc1O)CCc1ccccc1C,sweet
Compound XLI,COc1ccc(cc1O)CCc1ccccc1O,sweet
Compound XLII,COc1ccc(cc1O)CCc1ccccc1OC,sweet
Compound XLIII,COc1ccc(cc1O)CCc1ccccc1CO,sweet
Compound XLIV,COC(=O)c1ccccc1CCc1ccc(c(c1)O)OC,bitter
Compound XLV,COc1ccc(cc1O)CCc1ccccc1C(C)C,tasteless
Compound XLVI,COc1ccc(cc1O)CCc1ccccc1C(=O)O,tasteless
Compound XLVII,COc1ccc(cc1O)CCc1cccc(c1)C,sweet
Compound XLVIII,COc1ccc(cc1O)CCc1cccc(c1)O,tasteless
Compound XLIX,COc1cccc(c1)CCc1ccc(c(c1)O)OC,sweet
Compound L,COc1ccc(cc1O)CCc1cccc(c1)CO,tasteless
Compound LI,COC(=O)c1cccc(c1)CCc1ccc(c(c1)O)OC,tasteless
Compound LII,COc1ccc(cc1O)CCc1cccc(c1)C(=O)O,tasteless
Compound LIII,COc1ccc(cc1O)CCc1ccc(cc1)C,tasteless
Compound LIV,COc1ccc(cc1O)CCc1ccc(cc1)O,sweet
Compound LV,COc1ccc(cc1)CCc1ccc(c(c1)O)OC,tasteless
Compound LVI,OCc1ccc(cc1)CCc1ccc(c(c1)O)OC,tasteless
Compound LVII,COC(=O)c1ccc(cc1)CCc1ccc(c(c1)O)OC,tasteless
Compound LVIII,COc1ccc(cc1O)CCc1ccc(cc1)C(=O)O,tasteless
Compound LIX,COc1ccc(cc1O)CCc1ccc(cc1)F,sweet
Compound LX,COc1ccc(cc1O)CCc1ccc(cc1)Cl,tasteless
Compound LXI,COc1ccc(cc1O)CCc1ccc(cc1)Br,tasteless
Compound LXII,COc1ccc(cc1O)CCc1ccc(c(c1)O)OC,tasteless
Compound LXIII,COc1ccc(cc1O)CCc1ccc(c(c1)OC)O,tasteless
Compound LXIV,COc1ccc(cc1O)CCc1ccc(c(c1)OC)OC,tasteless
Compound LXV,COc1ccc(cc1O)CCc1ccc2c(c1)OCO2,sweet
Compound LXVI,CCOc1ccc(cc1O)CCc1ccccc1,sweet
Compound LXVII,CCCCCOc1ccc(cc1O)CCc1ccccc1,tasteless
Compound LXVIII,COc1cc(CCc2ccccc2)ccc1O,tasteless
Compound LXIX,COc1ccc(cc1N)CCc1ccccc1,tasteless
Compound LXX,COc1ccc(cc1OCC(=O)O)CCc1ccccc1,tasteless
Compound LXXI,NC(=O)Nc1ccc(cc1)CCc1ccccc1,tasteless
Compound LXXII,COC1CCC(CC1O)CCC1CCCCC1,bitter
Compound LXXIII,COCC(CC(CCc1ccccc1)C)O,bitter
Compound LXXIV,COCC(CCCCc1ccccc1)O,bitter
Compound LXXV,COCC(CCCc1ccccc1)O,bitter
Compound LXXVI,COCCCC(CCc1ccccc1)CCC,bitter
Compound LXXVII,COc1ccc(cc1O)c1cc2ccccc2c(=O)o1,tasteless
Compound LXXVIII,COc1ccc(cc1O)C1OC(=O)c2c(O1)cccc2,sweet
Compound LXXIX,COc1ccc(cc1O)C1OC(=O)c2c(S1)cccc2,sweet
Compound LXXX,COc1ccc(cc1O)C1NC(=O)c2c(C1)cccc2O,sweet
Compound LXXXI,COc1ccc(cc1O)C1NC(=O)c2c(C1)cccc2,tasteless
Compound LXXXII,COc1ccc(cc1O)C1NC(=O)c2c(N1)cccc2,tasteless
Compound LXXXIII,COc1ccc(cc1O)C1NC(=O)c2c(O1)cccc2,tasteless
Compound LXXXIV,COc1ccc(cc1O)C1NC(=O)c2c(S1)cccc2,tasteless
Compound LXXXV,COc1ccc(cc1O)C1OCc2c(C1)cccc2O,sweet
Compound LXXXVIII,COc1ccc(cc1O)C1CC(=O)c2c(O1)cccc2,tasteless
Compound LXXXIX,COc1ccc(cc1O)C1CC(=O)c2c(O1)cccc2O,sweet
Compound XC,CCOc1ccc(cc1O)C1CC(=O)c2c(O1)cccc2O,sweet
Compound XCI,CCCOc1ccc(cc1O)C1CC(=O)c2c(O1)cccc2O,sweet
Compound XCII,COc1cc(ccc1O)C1CC(=O)c2c(O1)cccc2O,tasteless
Compound XCIII,Oc1ccc(cc1)C1CC(=O)c2c(O1)cccc2O,tasteless
Compound XCV,COc1ccc(cc1O)CCC(=O)c1ccccc1O,sweet
Compound XCVI,CCOc1ccc(cc1O)CCC(=O)c1ccccc1O,sweet
Compound XCVII,CCCOc1ccc(cc1O)CCC(=O)c1ccccc1O,bitter
Compound XCVIII,COc1ccc(cc1O)CCC(=O)c1c(O)cccc1O,tasteless
Compound CX,CCOc1ccc(cc1O)CCC(=O)c1c(O)cccc1O,tasteless
Compound C,CCCOc1ccc(cc1O)CCC(=O)c1c(O)cccc1O,tasteless
Compound CI,COc1cc(CCC(=O)c2c(O)cccc2O)ccc1O,tasteless
Compound CII,Oc1ccc(cc1)CCC(=O)c1c(O)cccc1O,tasteless
Nitrobenzene,O=N(=O)c1ccccc1,sweet
m-Nitrobenzene,O=N(=O)c1cccc(c1)N(=O)=O,bitter
Phenylthiourea,NC(=S)Nc1ccccc1,bitter
Dimethyl urea,CN(C(=O)N)C,sweet
Resorcinol,Oc1cccc(c1)O,sweet
Phloroglucinol,Oc1cc(O)cc(c1)O,sweet
Glycol,OCCO,sweet
"1,4-Anhydro-ribitol",OCC1OCC(C1O)O,sweet
"1,4-Anhydro-mannitol",OCC(C1OCC(C1O)O)(O)C,sweet
"1,5-Anhydro-mannitol",OCC1OCC(C(C1O)O)O,sweet
Viboquercitol,OC1CC(O)C(C(C1O)O)O,sweet
Allo-inositol,OC1C(O)C(O)C(C(C1O)O)O,sweet
Dihydroxyacetone,OCC(=O)CO,sweet
Monohydroxyacetone,CC(=O)CO,sweet
Methyl dihydroxyacetone,COCC(=O)CO,sweet
Stachyose,OCC1OC(C(C1O)O)(CO)OC1OC(COC2OC(COC3OC(CO)C(C(C3O)O)O)C(C(C2O)O)O)C(C(C1O)O)O,sweet
